 BJT: Bipolar Junction Transistor
     device                    q2                    q1
      model                qc1815                qc2240
         ic            0.00569782           0.000243143
         ib           3.24528e-05           5.90382e-07
         ie           -0.00573028          -0.000243734
        vbe              0.699291              0.570182
        vbc              -5.50886              -5.91825
         gm              0.215676            0.00939932
        gpi             0.0012547           2.28258e-05
        gmu                 1e-12                 1e-12
         gx                  0.02                  0.05
         go           5.40033e-05           1.18078e-06
        cpi           1.36948e-10           7.13888e-11
        cmu           2.38324e-12           3.69539e-12
        cbx                     0                     0
       csub                     0                     0

