 BJT: Bipolar Junction Transistor
     device                    q2                    q1
      model                qa1015                qc2240
         ic            0.00573868           0.000180174
         ib           3.28259e-05           4.39902e-07
         ie            -0.0057715          -0.000180614
        vbe              0.690884              0.562572
        vbc              -5.38193              -4.78671
         gm              0.216584            0.00696508
        gpi            0.00126913           1.70079e-05
        gmu                 1e-12                 1e-12
         gx             0.0333333                  0.05
         go            5.4456e-05           8.79813e-07
        cpi           1.55759e-10           6.93142e-11
        cmu           5.49865e-12           3.92926e-12
        cbx                     0                     0
       csub                     0                     0

